LP / Seon,1
Deutsche Grammaphon 2720 029,3
Trip [TLP 5540],1
The gramaphone company of India Ltd. (ECSD 2609),1
Blind Pig,3
Lovely Music Ltd (CD 3071),1
Nonesuch H-71131,2
Harmonium [HMY 907238],1
ECM New Series 1731 472 0832,2
Cheng & Tsui,1
Verve (1956),1
Software SFT 010,1
Chandos Digital CD Chan 9820,1
Poljazz,2
Supraphon SU 3022-2 211,1
Archiv 198402,1
Epic 4/10/51,1
CD / Plana,1
CD / Decca,4
Gene Gairly,1
Gameboy Records,1
Harmonia Mundi 901522,1
L'Oiseau Lyre SOL 60037,1
Leo CD LR 499,1
Progressive,4
Harmonia Mundi HMA 1951574,1
CD (ECM New Series 1926/27),1
Red Records,4
Kindred Spirits,1
OKeh 06406,1
Landmark LLP-1508,1
Lampse Audiovisual Recordings,1
Mbari,2
Melodiya SRBL-4121,1
Mosaic 147,1
STU,1
Prestige P-24062,1
TV broadcast,1
Pearl GEMM CD 9470,1
Naxos 8.550411,1
Kaf,3
TFM,1
Luaka Bop,3
LP/Archiv Pruduktion 2710011,1
Nine Winds,17
RCA 09026-6874-2,1
Raga Records,23
Another Side,2
Probe,8
Velour Recordings (68748),1
Accord 149167,6
Fono Enterprise,1
Prestige 7214,1
FMP CD 90,1
NCM,1
LP Decca Gold Label Series 79411,2
Harmonia Mundi HMC 901538 (CD),3
NCD,1
Celestial Harmonies 13074-2,1
Tzadik (4011),1
Riah Records,1
Columbia MS 7071,2
CRI CD 768,2
MGM SE 4755,1
CD / Arsenic,1
Argo 644,1
Cobra Basement,1
SEON SBK 62939 (CD),1
Atlantic SD 1518,1
Verve 3/19/55,1
Harmonia Munid HMU 807518,1
New World 210,1
Third World,3
Polydor Records (PD 6509),3
Celluloid 1987,1
Upside Records,1
"Harmonia Mundi (CD, HB 29364)",3
Pablo Live 2620-108,1
EMI 7243 4 76936 2 5,1
Parnassus (CD 96019,1
Innova Records,3
BASF,3
BST  84259,1
"Vox Productions (LP, SVBX 578).",1
CD (Hänssler 92.057),1
Deutsche Grammophon 2530 328 (LP),1
LP/Melodiya,1
IM 37247,8
"Columbia (LP, MS7375)",1
Composers Recordings Inc CD 628,1
Cedille Records,3
Pipe,2
Rico Records,4
CD (Oxingdale 2007),2
"The Music of Poul Ruders, Vol. 6 (Bridge)",1
UNRELEASED,2
CD/Blue Griffin Recording,1
Smash/Mercury,3
Virgin Classics 0946 3 38154 2 1,7
ARGO BA 925,2
Mode 021,1
Metamorphosis Music,2
CD (New World Records 80655-2),1
FMP 0070,2
Tropical Music,2
ESP-1040,1
Ottorino Respighi,1
Atlantic SD 8139,1
Doctor Jazz,3
Spin-o-Rama,3
JEE 22007,1
CD/Radio France,1
Checker CH 9143,1
mode 106,1
Kremlin 006,1
CD/ ondine,1
Pyramid Records,1
Seraphim S-60062,1
Leo Records LR 495,1
MCA-227,1
New Albion,24
Saturn,32
FA 38283,1
Khaeon,1
Philips (CD),1
Spotlite,15
EBM-2,1
American Tapes,10
LP: MHS Stereo 4285,1
India Archive Music CD1013,1
Pogus P21019-2,1
The Sun of Latin Music,1
CD/CBC Records 5181,1
hannsler (CD 92.128),1
GNP 23,1
Melodiya SRBL 4117,1
BAR 0001,1
Holy Ghost: Rare And Unissued Recordings (1962-70) (Revenant RVN 213),3
CD / ECM,2
Free Music Production,20
Deutche Grammophon B0003109-02,1
Radio Netherlands,1
Concert-Disc 1260,3
Incus 29/30,1
Devout Conformist Productions,1
CD: Philips 442 783-2,1
Philly Jazz Inc. (PJ666),1
Enja Records 2026,1
Survival SR 110,1
[self-released],6
Bandura,1
Cris Cross Jazz,1
Jazzateria (JZZ 20306-2),1
ARL2-4198,1
CD / Archiv,1
Elektra Records,1
Hospital CD HOS-212,1
ATMA ACD 2 2151,9
Decca (CD289 460 247-2),1
